Subset_Split,Design_Point,Activation_Function,Number_Neurons,Input_DO_Rate,Hidden_DO_Rate,Initial_Weight_Dist,Data_Scale,Rho,Epsilon,Shuffle_Train_Data,Dropout,DPt,Train_MSE,Test_MSE,Train_Time,Notes
1,153,Tanh,1,0.002527009,0.276205873,Uniform,ZO,0.836434792,1.24e-10,TRUE,TRUE,NA,0.08976560792704888,0.08631787842687962,0.436,NA
1,154,Rectifier,1,0.032249856,0.33796355300000003,Normal,PM1,0.843441309,1.79e-10,FALSE,TRUE,NA,0.5572313670311106,0.5858101723656582,0.143,NA
1,155,Rectifier,1,0.086925124,0.180833119,Normal,ZO,0.793719628,2.34e-10,FALSE,TRUE,NA,0.24484254436192998,0.24272060290555703,0.038,NA
1,156,Tanh,1,0.065531122,0.245152467,UniformAdaptive,PM.5,0.78109644600000006,2.02e-10,TRUE,TRUE,NA,0.06057159971083993,0.06981262351619977,0.435,NA
1,157,Rectifier,2,0.102522635,0.227469494,Uniform,PM1,0.791159629,1.86e-10,FALSE,TRUE,NA,0.5551281608985866,0.6047935272128379,0.141,NA
1,158,Tanh,1,0.151750836,0.255080859,UniformAdaptive,PM.5,0.76044548,1.56e-10,TRUE,TRUE,NA,0.058669210867931663,0.06663794662546692,0.438,NA
1,159,Tanh,1,0.003141959,0.302350366,UniformAdaptive,PM1,0.805473688,2.4e-10,TRUE,TRUE,NA,0.24278936870442938,0.27178126049292534,0.437,NA
1,160,Tanh,1,0.023371615,0.309528844,Normal,PM.5,0.800563291,1.42e-10,TRUE,TRUE,NA,0.10288800611399007,0.09960997654033367,0.466,NA
1,161,Tanh,2,0.159012087,0.292579836,UniformAdaptive,ZO,0.81613569,2.49e-10,TRUE,TRUE,NA,0.0260730936108241,0.028091943232076796,0.427,NA
1,162,Tanh,3,0.099524957,0.307929384,Uniform,PM.5,0.810724101,2.84e-10,TRUE,TRUE,NA,0.012817317111326238,0.01699579498934221,0.271,NA
1,163,Tanh,3,0.181783027,0.304342626,UniformAdaptive,PM.5,0.79292991,1.7e-10,TRUE,TRUE,NA,0.01024538681629406,0.013650602350944471,0.478,NA
1,164,Tanh,2,0.19123417,0.31446413,Normal,PM.5,0.837400097,2.22e-10,TRUE,TRUE,NA,0.11570031401151432,0.11542277432829615,0.463,NA
1,165,Tanh,1,0.198276644,0.217687372,UniformAdaptive,PM.5,0.802660504,2.61e-10,FALSE,TRUE,NA,0.06029151344142744,0.05971480713318572,0.323,NA
1,166,Tanh,3,0.168951848,0.272689048,Uniform,ZO,0.756840107,2.55e-10,FALSE,TRUE,NA,0.042409520523139385,0.04657441502051112,0.527,NA
