Subset_Split,Design_Point,Activation_Function,Number_Neurons,Input_DO_Rate,Hidden_DO_Rate,Initial_Weight_Dist,Data_Scale,Rho,Epsilon,Shuffle_Train_Data,Y
1,35,Tanh,3,0.254635362,0.101488474,Normal,PM1,0.790585492,2.67E-10,FALSE,
1,36,Tanh,1,0.338927628,0.072668825,Uniform,PM1,0.767297638,2.70E-10,FALSE,
1,37,Rectifier,1,0.216805201,0.036757066,Normal,ZO,0.770082689,3.15E-10,TRUE,
1,38,Rectifier,1,0.157220239,0.01088052,Normal,ZO,0.74674807,3.36E-10,TRUE,
1,39,Rectifier,2,0.233369007,0.064011139,Uniform,ZO,0.731696012,3.27E-10,TRUE,
1,40,Tanh,2,0.261271864,0.089347677,Uniform,PM.5,0.777267527,3.78E-10,TRUE,
1,41,Tanh,3,0.308381563,0.150620519,UniformAdaptive,PM.5,0.754669029,3.57E-10,FALSE,
1,42,Rectifier,3,0.277223577,0.12490238,UniformAdaptive,PM1,0.745478574,4.02E-10,FALSE,
1,43,Rectifier,2,0.2709629,0.168038681,Normal,ZO,0.741709076,3.08E-10,TRUE,
1,44,Rectifier,2,0.314499366,0.009704618,UniformAdaptive,ZO,0.723769647,3.99E-10,FALSE,
1,45,Rectifier,2,0.279495886,0.033949269,Uniform,ZO,0.734742532,2.86E-10,TRUE,
1,46,Tanh,2,0.218072742,0.161463052,Normal,PM1,0.832163196,3.92E-10,FALSE,
1,47,Tanh,2,0.203805526,0.071904018,Normal,PM1,0.842329982,3.81E-10,FALSE,
1,48,Rectifier,2,0.246114197,0.084285427,Normal,PM.5,0.81145047,2.95E-10,FALSE,
1,49,Rectifier,1,0.162150462,0.046056138,Normal,PM1,0.824924821,3.90E-10,TRUE,
1,50,Rectifier,3,0.272569602,0.109850039,UniformAdaptive,PM1,0.846383539,2.59E-10,FALSE,
1,51,Rectifier,2,0.295565408,0.028686867,Uniform,PM.5,0.845006946,2.06E-10,TRUE,
1,52,Rectifier,3,0.330219491,0.008827969,Uniform,PM1,0.809719416,2.42E-10,TRUE,
1,53,Tanh,2,0.304398691,0.075446084,Uniform,PM1,0.829286173,3.22E-10,TRUE,
1,54,Tanh,3,0.296139428,0.322350395,Uniform,PM1,0.763611983,3.89E-10,FALSE,
1,55,Tanh,3,0.328424359,0.329623445,Normal,ZO,0.729166447,3.30E-10,FALSE,
1,56,Rectifier,1,0.251747639,0.278292888,Uniform,ZO,0.723629156,2.76E-10,TRUE,
1,57,Rectifier,2,0.306210365,0.259856701,Uniform,ZO,0.772255652,2.48E-10,FALSE,
1,58,Tanh,2,0.197309295,0.306804948,Normal,PM1,0.769486227,3.48E-10,FALSE,
1,59,Rectifier,2,0.267598535,0.224759702,UniformAdaptive,ZO,0.730706796,3.71E-10,FALSE,
1,60,Tanh,2,0.333845217,0.216242529,Normal,PM1,0.744129847,2.88E-10,TRUE,
1,61,Rectifier,1,0.325196842,0.126121472,UniformAdaptive,PM1,0.782130031,3.29E-10,FALSE,
1,62,Tanh,1,0.283626193,0.191460016,Normal,PM.5,0.772832811,3.34E-10,FALSE,
1,63,Tanh,1,0.297062246,0.20188893,UniformAdaptive,PM1,0.793182978,2.77E-10,TRUE,
